epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5767,3.34342,4.26269,2.58883,0,0,0,0,3.66648,4.16627,2.60604,2.5e-05,2.5e-05,2.5e-05
2,80.8682,3.16366,4.19764,2.47064,0.00045,0.02778,0.00139,0.00028,3.56168,4.13963,2.54199,6.21906e-05,6.21906e-05,6.21906e-05
3,107.856,3.16882,4.17728,2.42417,0.00282,0.08712,0.00243,0.00059,3.44251,4.10474,2.43386,9.901e-05,9.901e-05,9.901e-05
4,139.574,2.98526,4.13386,2.26138,0.00339,0.17045,0.0412,0.01526,3.23496,4.06705,2.34653,0.000135458,0.000135458,0.000135458
5,168.585,3.16823,4.04719,2.2373,0.00494,0.26613,0.15888,0.05631,3.02791,4.03132,2.22576,0.000171535,0.000171535,0.000171535
6,197.902,2.84191,3.92008,2.06699,0.00471,0.25996,0.18604,0.08108,2.98917,3.9863,2.17152,0.000207241,0.000207241,0.000207241
7,227.21,2.81791,3.82972,2.04386,0.00839,0.33067,0.18395,0.07669,3.02194,3.98908,2.19012,0.000242575,0.000242575,0.000242575
8,255.781,2.87692,3.75298,2.00744,0.00663,0.30149,0.20554,0.08878,3.03135,3.98809,2.19463,0.000277538,0.000277538,0.000277538
9,285.52,2.78526,3.66754,1.92241,0.00657,0.29293,0.21424,0.10241,3.11823,3.98081,2.28009,0.00031213,0.00031213,0.00031213
10,312.502,2.75506,3.57161,1.89134,0.00648,0.29293,0.21546,0.09333,3.12972,3.97223,2.30505,0.000346351,0.000346351,0.000346351
11,342.79,2.68848,3.41783,1.89677,0.00953,0.33586,0.21346,0.06472,3.24613,3.90047,2.43301,0.0003802,0.0003802,0.0003802
12,373.048,2.78375,3.31776,1.85202,0.0104,0.34343,0.155,0.04752,3.26522,3.88148,2.45044,0.000413678,0.000413678,0.000413678
13,401.356,2.71131,3.35869,1.85133,0.00828,0.33207,0.20823,0.0484,3.25738,3.80385,2.34662,0.000446785,0.000446785,0.000446785
14,428.629,2.54969,3.08956,1.73627,0.00798,0.28409,0.18724,0.05354,3.27321,3.77081,2.29523,0.000479521,0.000479521,0.000479521
15,458.172,2.58872,3.12988,1.80625,0.00883,0.34343,0.15539,0.05465,3.27397,3.72079,2.22046,0.000511885,0.000511885,0.000511885
16,485.525,2.64379,3.05041,1.82439,0.00823,0.31566,0.16442,0.0689,3.28692,3.71392,2.23321,0.000543878,0.000543878,0.000543878
17,516.733,2.57695,2.87325,1.78591,0.00871,0.31566,0.19747,0.07485,3.38261,3.71871,2.19314,0.0005755,0.0005755,0.0005755
18,547.29,2.69308,2.8873,1.86785,0.00752,0.30429,0.20745,0.08072,3.26972,3.67475,2.11112,0.000606751,0.000606751,0.000606751
19,582.915,2.59464,2.80193,1.80174,0.00666,0.24874,0.14102,0.06367,3.3134,3.66968,2.16204,0.00063763,0.00063763,0.00063763
20,610.759,2.62032,2.77787,1.78779,0.00732,0.23232,0.12886,0.05502,3.26615,3.57993,2.12294,0.000668138,0.000668138,0.000668138
21,642.384,2.44295,2.49338,1.69182,0.00955,0.30682,0.20539,0.06444,3.24022,3.47454,2.11783,0.000698275,0.000698275,0.000698275
22,672.123,2.50539,2.51896,1.7146,0.01466,0.39955,0.21928,0.08066,3.05325,3.39944,2.07176,0.000728041,0.000728041,0.000728041
23,704.352,2.59851,2.51098,1.70804,0.01666,0.41428,0.23419,0.09524,3.08652,3.31355,2.13943,0.000757435,0.000757435,0.000757435
24,729.113,2.49265,2.38139,1.69687,0.02239,0.46479,0.25467,0.0953,2.93792,3.25636,2.08886,0.000786458,0.000786458,0.000786458
25,757.92,2.46912,2.31506,1.66565,0.02513,0.48681,0.21731,0.06018,2.84157,3.28687,2.0656,0.00081511,0.00081511,0.00081511
26,783.993,2.44488,2.30675,1.6947,0.42818,0.21691,0.22548,0.06017,2.8512,3.23549,2.11873,0.000843391,0.000843391,0.000843391
27,807.903,2.35917,2.27717,1.70878,0.03087,0.55191,0.23637,0.06668,2.87745,3.22462,2.16716,0.0008713,0.0008713,0.0008713
28,835.992,2.58829,2.30836,1.73743,0.03802,0.55093,0.23705,0.088,2.89315,3.13578,2.15176,0.000898838,0.000898838,0.000898838
29,863.768,2.47326,2.1913,1.7316,0.03802,0.55093,0.23705,0.088,2.89315,3.13578,2.15176,0.000926005,0.000926005,0.000926005
30,890.955,2.49761,2.19182,1.63934,0.1864,0.47517,0.25556,0.09704,2.94203,2.96162,2.13362,0.000952801,0.000952801,0.000952801
31,915.958,2.42429,2.16673,1.55356,0.55885,0.19949,0.22654,0.0826,2.96338,2.92153,2.12907,0.000979225,0.000979225,0.000979225
32,943.686,2.39185,2.06422,1.57527,0.52255,0.25616,0.24692,0.08068,2.97598,2.85233,2.14772,0.00100528,0.00100528,0.00100528
33,974.249,2.46754,2.09036,1.63095,0.52255,0.25616,0.24692,0.08068,2.97598,2.85233,2.14772,0.00103096,0.00103096,0.00103096
34,1001.03,2.44321,2.0634,1.66882,0.45324,0.27841,0.26724,0.0915,2.90314,2.76597,2.10019,0.00104581,0.00104581,0.00104581
35,1025.69,2.29266,2.09263,1.5998,0.43128,0.22587,0.27327,0.10078,2.89187,2.68269,2.09916,0.00103962,0.00103962,0.00103962
36,1053.63,2.31612,1.9772,1.58306,0.48396,0.28143,0.32318,0.11489,2.8845,2.7436,2.08171,0.00103344,0.00103344,0.00103344
37,1083.29,2.41866,1.95112,1.58609,0.48396,0.28143,0.32318,0.11489,2.8845,2.7436,2.08171,0.00102725,0.00102725,0.00102725
38,1108.9,2.3208,1.90816,1.58806,0.51062,0.33193,0.34979,0.11357,2.99766,3.09909,2.14156,0.00102106,0.00102106,0.00102106
39,1135.51,2.31338,2.02819,1.611,0.38994,0.289,0.33896,0.12046,2.99936,3.12288,2.08152,0.00101488,0.00101488,0.00101488
40,1164.39,2.30557,2.01863,1.62471,0.19783,0.37738,0.25105,0.10359,3.03775,2.95135,2.04795,0.00100869,0.00100869,0.00100869
41,1194.61,2.22263,1.94036,1.5763,0.19783,0.37738,0.25105,0.10359,3.03775,2.95135,2.04795,0.0010025,0.0010025,0.0010025
42,1222.95,2.25119,1.96467,1.61038,0.2539,0.38114,0.25765,0.11656,2.86665,2.71513,1.97132,0.000996313,0.000996313,0.000996313
43,1255.17,2.29067,1.94345,1.60426,0.30159,0.40306,0.2913,0.11808,2.80031,2.57373,1.92767,0.000990125,0.000990125,0.000990125
44,1284.89,2.14931,1.89352,1.532,0.35645,0.39957,0.32871,0.12207,2.81196,2.43122,1.95308,0.000983938,0.000983938,0.000983938
45,1330.77,2.24456,1.89735,1.56261,0.35645,0.39957,0.32871,0.12207,2.81196,2.43122,1.95308,0.00097775,0.00097775,0.00097775
46,1362.98,2.18328,1.86189,1.58584,0.35825,0.43406,0.38629,0.12588,2.85119,2.36497,1.98592,0.000971562,0.000971562,0.000971562
